Ecole;Année scolaire;Effectif;Début année scolaire
ALAIN FOURNIER MATERNELLE;2010-2011;114;2010-10-01
BAUT ELEMENTAIRE;2010-2011;98;2010-10-01
BEAUJOIRE ELEMENTAIRE;2010-2011;119;2010-10-01
CHARLES LEBOURG PRIMAIRE;2010-2011;169;2010-10-01
CHENE D'ARON MATERNELLE;2010-2011;78;2010-10-01
FONTENY MATERNELLE;2010-2011;145;2010-10-01
FRANCOIS DALLET ELEMENTAIRE;2010-2011;198;2010-10-01
JEAN MOULIN MATERNELLE;2010-2011;146;2010-10-01
LOUIS PERGAUD MATERNELLE;2010-2011;149;2010-10-01
PLANTES MATERNELLE;2010-2011;75;2010-10-01
PLESSIS CELLIER ELEMENTAIRE;2010-2011;192;2010-10-01
SARAH BERNHARDT MATERNELLE;2010-2011;188;2010-10-01
VILLA MARIA PRIMAIRE;2010-2011;117;2010-10-01
BARBERIE-MULOTIERE ELEMENTAIRE;2011-2012;153;2011-10-01
BOCCAGE ELEMENTAIRE;2011-2012;130;2011-10-01
FELLONNEAU MATERNELLE;2011-2012;115;2011-10-01
GARENNES ELEMENTAIRE;2011-2012;125;2011-10-01
HENRI BERGSON MATERNELLE;2011-2012;105;2011-10-01
JEAN JAURES ELEMENTAIRE;2011-2012;125;2011-10-01
MAISON NEUVE PRIMAIRE;2011-2012;172;2011-10-01
MARSAUDERIES ELEMENTAIRE;2011-2012;175;2011-10-01
"MARSAUDERIES bilingue ""Français/Breton""";2011-2012;169;2011-10-01
SULLY ELEMENTAIRE;2011-2012;221;2011-10-01
VILLA MARIA PRIMAIRE;2011-2012;114;2011-10-01
ALAIN FOURNIER ELEMENTAIRE;2012-2013;146;2012-10-01
ANDRE LERMITE ELEMENTAIRE;2012-2013;177;2012-10-01
BAUT ELEMENTAIRE;2012-2013;114;2012-10-01
BOTTIERE ELEMENTAIRE;2012-2013;163;2012-10-01
CHARLES LEBOURG PRIMAIRE;2012-2013;193;2012-10-01
CONTRIE ELEMENTAIRE;2012-2013;186;2012-10-01
GEORGES BRASSENS MATERNELLE;2012-2013;92;2012-10-01
JEAN ZAY I MATERNELLE;2012-2013;118;2012-10-01
JEAN ZAY II MATERNELLE;2012-2013;96;2012-10-01
LEDRU ROLLIN ELEMENTAIRE;2012-2013;300;2012-10-01
LOUIS PERGAUD MATERNELLE;2012-2013;134;2012-10-01
LOUISE MICHEL MATERNELLE;2012-2013;151;2012-10-01
AGENETS ELEMENTAIRE;2013-2014;216;2013-10-01
BATIGNOLLES ELEMENTAIRE;2013-2014;167;2013-10-01
BAUT MATERNELLE;2013-2014;97;2013-10-01
BEAUJOIRE ELEMENTAIRE;2013-2014;111;2013-10-01
BOTTIERE MATERNELLE;2013-2014;171;2013-10-01
CONTRIE ELEMENTAIRE;2013-2014;192;2013-10-01
COTE D'OR MATERNELLE;2013-2014;56;2013-10-01
FELLONNEAU MATERNELLE;2013-2014;115;2013-10-01
FONTENY MATERNELLE;2013-2014;142;2013-10-01
JEAN ZAY II MATERNELLE;2013-2014;91;2013-10-01
LEON SAY ELEMENTAIRE;2013-2014;198;2013-10-01
LOUIS PERGAUD MATERNELLE;2013-2014;149;2013-10-01
PORT BOYER MATERNELLE;2013-2014;145;2013-10-01
