nom_etab;Appellation officielle;type_es;Adresse;cp;Commune;prix_moyen_m2_appartement;prix_moyen_m2_maison;id_quartier;Quartier;prix_quartier_m2_appart;id_quartier_details;Quartier_detail;prix_Quartier_detail_m2_appart;id_pole;Nom du pôle;Longitude_Latitude
BARBERIE M/E;Ecole maternelle La Barberie;M/E;25 avenue de Tahiti;44300;Nantes;2959;4252;7;Breil - Barberie;3498;7b;Barberie;3165;8;Nantes-Ouest;[-1.57122969224587,47.244131755425]
GEORGES LAFONT M;Ecole maternelle Georges Lafont;M;56 rue Georges Lafont;44300;Nantes;3160;3803;7;Breil - Barberie;3498;7b;Barberie;3165;8;Nantes-Ouest;[-1.58280963082697,47.2373914466694]
LONGCHAMP M/E;Ecole primaire Longchamp;M/E;6 rue du Vélodrome;44300;Nantes;3522;4496;7;Breil - Barberie;3498;7b;Barberie;3165;8;Nantes-Ouest;[-1.57269028036729,47.238594027472]
MULOTIERE E;Ecole élémentaire Mulotière;E;18 rue Pierre Yvernogeau;44300;Nantes;3017;4252;7;Breil - Barberie;3498;7b;Barberie;3165;8;Nantes-Ouest;[-1.56970048070955,47.2419557086246]
ALAIN FOURNIER E;Ecole primaire Alain-Fournier;E;87 rue du Bois Hardy;44100;Nantes;2908;3565;2;Bellevue - Chantenay - Sainte Anne;3120;2a;Bellevue;2414;8;Nantes-Ouest;[-1.60177038499681,47.2041450203042]
ALAIN FOURNIER M;Ecole maternelle Alain-Fournier;M;87 rue du Bois Hardy;44100;Nantes;2908;3565;2;Bellevue - Chantenay - Sainte Anne;3120;2a;Bellevue;2414;8;Nantes-Ouest;[-1.60177038499681,47.2041450203042]
ALAIN FOURNIER M/E;Ecole élémentaire Alain-Fournier;M/E;87 rue du Bois Hardy;44100;Nantes;2908;3565;2;Bellevue - Chantenay - Sainte Anne;3120;2a;Bellevue;2414;8;Nantes-Ouest;[-1.60177038499681,47.2041450203042]
JEAN ZAY E;Ecole élémentaire Jean Zay;E;15 bis rue Yves Kartel;44100;Nantes;1583;2991;2;Bellevue - Chantenay - Sainte Anne;3120;2a;Bellevue;2414;8;Nantes-Ouest;[-1.60798946061389,47.2091893848403]
JEAN ZAY M;Ecole maternelle Jean Zay;M;15 bis rue Yves Kartel;44100;Nantes;1583;2991;2;Bellevue - Chantenay - Sainte Anne;3120;2a;Bellevue;2414;8;Nantes-Ouest;[-1.60721999967145,47.2085806344081]
LUCIE AUBRAC M/E;Ecole élémentaire Lucie Aubrac;M/E;47 boulevard Jean Moulin;44100;Nantes;2461;3206;2;Bellevue - Chantenay - Sainte Anne;3120;2a;Bellevue;2414;8;Nantes-Ouest;[-1.59912058757037,47.207957661118]
PLESSIS CELLIER M/E;Ecole élémentaire Plessis Cellier;M/E;59 rue des Alouettes;44100;Nantes;2545;3234;2;Bellevue - Chantenay - Sainte Anne;3120;2a;Bellevue;2414;8;Nantes-Ouest;[-1.60611974172942,47.2013783993111]
GRAND CARCOUET M/E;Ecole primaire Grand Carcouët;M/E;1  RUE L BRISSET;44100;Nantes;3103;4034;7;Breil - Barberie;3498;7a;Breil;3664;8;Nantes-Ouest;[-1.5938395954725,47.228354967586]
JACQUES PREVERT M/E;Ecole élémentaire Jacques Prévert;M/E;34 rue du Breil;44100;Nantes;4116;4034;7;Breil - Barberie;3498;7a;Breil;3664;8;Nantes-Ouest;[-1.58374036990981,47.2296164118259]
PLANTES M/E;Ecole élémentaire Les Plantes;M/E;19 avenue des Plantes;44100;NANTES;3774;4581;7;Breil - Barberie;3498;7a;Breil;3664;8;Nantes-Ouest;[-1.58365999589,47.2344468401]
ANDRE LERMITE/LAMORICIERE M/E;Ecole élémentaire André Lermite;M/E;5 rue Evariste Luminais;44100;Nantes;4868;4995;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.57033023877586,47.2124112124855]
CHENE D'ARON E;Ecole élémentaire Chêne d'Aron;E;3 rue de l'Heronnière;44000;Nantes;4430;4376;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.56090982193118,47.2122056379041]
CHENE D'ARON M;Ecole maternelle Le Chêne d'Aron;M;4 rue du Chêne d'Aron;44000;Nantes;4240;4084;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.56031985366696,47.2120061437076]
EMILE PEHANT E;Ecole primaire Emile Péhant;M/E;24 rue Emile Péhant;44000;Nantes;3955;4388;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.54845977578666,47.2126666606482]
EMILE PEHANT M;Ecole maternelle Emile Péhant;M/E;24 rue Emile Péhant;44000;Nantes;3955;4388;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.54845977578666,47.2126666606482]
